iter	Passed	Remaining
224	3720	4547
225	3734	4527
226	3747	4506
227	3772	4500
228	3789	4484
229	3796	4456
230	3802	4428
231	3809	4400
232	3823	4381
233	3838	4363
234	3851	4343
235	3856	4314
236	3863	4287
237	3874	4265
238	3889	4247
239	3911	4237
240	3923	4216
241	3943	4204
242	3949	4177
243	3958	4153
244	3977	4140
245	4011	4141
246	4021	4119
247	4027	4092
248	4033	4066
249	4040	4040
250	4075	4043
251	4091	4026
252	4106	4008
253	4114	3984
254	4120	3958
255	4126	3932
256	4136	3911
257	4153	3896
258	4170	3880
259	4179	3858
260	4184	3831
261	4196	3812
262	4207	3791
263	4219	3772
264	4225	3747
265	4232	3723
266	4237	3698
267	4243	3673
268	4254	3653
269	4267	3635
270	4275	3613
271	4281	3588
272	4287	3565
273	4294	3542
274	4307	3524
275	4312	3500
276	4318	3476
277	4346	3470
278	4359	3453
279	4366	3430
280	4373	3408
281	4379	3385
282	4390	3366
283	4402	3348
284	4409	3326
285	4416	3304
286	4428	3286
287	4440	3268
288	4453	3251
289	4465	3233
290	4474	3213
291	4479	3190
292	4484	3168
293	4519	3167
294	4534	3151
295	4547	3133
296	4552	3111
297	4563	3093
298	4582	3080
299	4599	3066
300	4652	3075
301	4707	3086
302	4722	3070
303	4735	3052
304	4740	3030
305	4747	3009
306	4754	2988
307	4767	2972
308	4783	2956
309	4796	2939
310	4803	2918
311	4809	2898
312	4816	2877
313	4826	2858
314	4837	2841
315	4850	2824
316	4858	2804
317	4864	2784
318	4871	2764
319	4882	2746
320	4889	2726
321	4895	2706
323	4849	2634
324	4866	2620
325	4879	2604
326	4884	2584
327	4890	2564
328	4895	2544
328	4975	2586
330	4922	2513
331	4950	2505
332	4970	2492
333	4976	2473
334	4981	2453
335	4987	2434
336	5005	2421
337	5029	2410
338	5035	2391
339	5043	2373
340	5048	2354
341	5056	2336
342	5103	2335
343	5112	2318
344	5119	2299
345	5124	2281
346	5131	2262
347	5147	2248
348	5154	2230
349	5159	2211
349	5229	2241
351	5191	2182
352	5226	2176
353	5237	2160
354	5251	2145
355	5257	2126
356	5262	2107
357	5267	2089
358	5286	2076
359	5336	2075
360	5352	2061
361	5360	2043
362	5367	2025
363	5378	2009
364	5389	1993
365	5436	1990
366	5453	1976
367	5461	1958
368	5467	1940
369	5478	1924
370	5483	1906
371	5512	1896
372	5533	1884
373	5554	1871
374	5561	1853
375	5605	1848
376	5620	1833
377	5634	1818
378	5642	1801
379	5663	1788
380	5703	1781
381	5719	1766
382	5754	1758
383	5764	1741
384	5769	1723
385	5781	1707
386	5788	1690
387	5795	1672
388	5810	1658
389	5825	1642
390	5834	1626
391	5840	1609
392	5846	1591
393	5852	1574
394	5860	1557
395	5873	1542
396	5886	1527
397	5897	1511
398	5903	1494
399	5909	1477
400	5916	1460
401	5929	1445
402	5940	1429
403	5952	1414
404	5967	1399
405	5973	1383
